match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
12276861,2916,3980,1992,,,1714658369
12276862,4135,4024,2796,,,1714664332
12276863,2152,2347,,,,1714643105
12276864,5991,3756,,,,1714658100
12276865,1986,2526,3329,,,1714742630
12276866,1587,3989,3714,,,1714666781
12276867,4144,2285,,,,1714927708
12276868,2272,2210,,,,1714761039
12276869,2512,3985,,,,1714838231
12276923,3061,2150,2950,,,1714831430
12276924,2159,2165,,,,1714647948
12276925,2758,2188,,,,1714649494
12276926,3208,16214,1705,,,1714746729
12276927,3182,2996,,,,1714646138
12276928,2285,3364,2755,,,1714662594
12276929,3392,3199,2452,,,1714583311
12276930,2113,2371,,,,1714748340
12276931,3402,2488,2640,,,1714757504
12276932,3107,4148,3095,,,1714921775
12276933,2565,2230,2516,,,1714755266
12276934,1415,2213,,,,1714653966
12276935,2742,2902,,,,1714822277
12276937,2064,2040,,,,1714578283
12276938,1489,2429,1975,,,1714654013
12276974,2261,2336,2091,,,1714743011
12276975,3252,2503,,,,1714642298
12276976,2274,2209,,,,1714647354
12276977,2443,3262,,,,1714822971
12276978,2527,3207,2970,,,1714657223
12276979,2219,1833,,,,1714663285
12276980,3542,4069,2689,,,1714911221
12276981,2241,2583,,,,1714641345
12276982,,,,,,1714735028
12276983,,,,,,1714645564
12276984,3179,3023,3698,,,1714733376
12276985,2422,2367,,,,1714817065
12276986,2601,3380,1976,,,1714650711
12276987,1091,2283,1692,,,1714642510
12276988,2617,4304,4541,,,1714753014
12287004,4299,1522,,,,1714520170
12287005,2522,2171,,,,1714580423
12287006,5220,3111,2656,,,1714512259
12287007,2263,,,,,1714491089
12287008,2280,4000,4221,,,1714515041
12287009,4079,3870,,,,1714590408
12287010,,,,,,
12287011,3499,2218,,,,1714492313
12287012,2681,4385,,,,1714581008
12287013,3067,3848,3206,,,1714535246
12288044,2924,2430,,,,1714481575
12288048,2050,2354,,,,1714493672
12288050,,,,,,
12288414,,,,,,
12288415,,,,,,
12288416,,,,,,
12288417,1505,1903,,,,1714607219
12288418,,,,,,
12288419,2965,2832,803,,,1714599629
12288420,1774,1988,,,,1714603014
12288421,2137,2342,,,,1714597357
12288918,1871,3493,,,,1714574202
12288919,1812,4552,3647,,,1714577266
12288920,3086,1833,,,,1714567878
12288921,4069,1043,,,,1714562297
12288922,2465,2888,3073,,,1714585020
12288923,2176,2466,3491,,,1714486689
12288924,3081,3845,,,,1714567646
12288925,4321,1124,,,,1714576899
12288926,2389,4258,2786,,,1714572197
12288929,2097,4992,2959,,,1714495434
12288930,3045,3431,3167,,,1714561293
12288931,,,,,,
12288932,2138,2067,,,,1714578243
12288933,1918,2272,3843,,,1714483397
12289656,4676,10124,,,,1714485603
12289658,1927,3447,,,,1714491753
12289660,1874,2102,,,,1714578260
12289663,1882,1979,,,,1714497311
